ENSMUSG00000001524.14 Gtf2h4
ENSMUSG00000001525.10 Tubb5
ENSMUSG00000001542.7 Ell2
ENSMUSG00000001552.14 Jup
ENSMUSG00000001555.10 Fkbp10
ENSMUSG00000001558.5 Klhl10
ENSMUSG00000001566.9 Mnx1
ENSMUSG00000001569.10 Nom1
ENSMUSG00000001576.14 Ergic1
ENSMUSG00000001583.13 Tnk1
ENSMUSG00000001588.12 Acap1
ENSMUSG00000001604.14 Tcea3
ENSMUSG00000001622.15 Csn3
ENSMUSG00000001627.12 Ifrd1
ENSMUSG00000001630.13 Stk38l
ENSMUSG00000001632.16 Brpf1
ENSMUSG00000001642.18 Akr1b3
ENSMUSG00000001655.6 Hoxc13
ENSMUSG00000001656.3 Hoxc11
ENSMUSG00000001657.7 Hoxc8
ENSMUSG00000001661.5 Hoxc6
ENSMUSG00000001663.10 Gstt1
ENSMUSG00000001665.11 Gstt3
ENSMUSG00000001666.8 Ddt
ENSMUSG00000001670.13 Tat
ENSMUSG00000001672.14 Marveld3
ENSMUSG00000001674.11 Ddx18
ENSMUSG00000001687.15 Ubl3
ENSMUSG00000001700.9 Gramd3
ENSMUSG00000001707.8 Eef1e1
ENSMUSG00000001729.14 Akt1
ENSMUSG00000001739.14 Cldn15
ENSMUSG00000001741.12 Il16
ENSMUSG00000001750.15 Tcirg1
ENSMUSG00000001751.9 Naglu
ENSMUSG00000001755.12 Coasy
ENSMUSG00000001761.7 Smo
ENSMUSG00000001763.14 Tspan33
ENSMUSG00000001767.5 Crnkl1
ENSMUSG00000001768.15 Rin2
ENSMUSG00000001773.14 Folh1
ENSMUSG00000001774.8 Chordc1
ENSMUSG00000001783.3 Rtcb
ENSMUSG00000001785.13 Pwp1
ENSMUSG00000001786.14 Fbxo7
ENSMUSG00000001794.13 Capns1
ENSMUSG00000001802.16 Lrp3
ENSMUSG00000001804.9 Dsg4
ENSMUSG00000001815.15 Evx2
ENSMUSG00000001819.4 Hoxd13
ENSMUSG00000001823.5 Hoxd12
ENSMUSG00000001827.12 Folr1
ENSMUSG00000001829.17 Clpb
ENSMUSG00000001833.17 Sept7
ENSMUSG00000001844.10 Zdhhc4
ENSMUSG00000001847.14 Rac1
ENSMUSG00000001855.15 Nup214
ENSMUSG00000001864.13 Aif1l
ENSMUSG00000001865.2 Cpa3
ENSMUSG00000001870.15 Ltbp1
ENSMUSG00000001891.16 Ugp2
ENSMUSG00000001901.15 Kcnh6
ENSMUSG00000001909.15 Trmt1
ENSMUSG00000001910.4 Nacc1
ENSMUSG00000001911.16 Nfix
ENSMUSG00000001918.17 Slc1a5
